collected_videos_count,collection_time,influencer_id,id,nickname,followers,hearts
10.0,1674149801223.0,6.636584783425274e+18,zixinhdep,Zika_hila🧚🏿‍♀️,2300000.0,58600000.0
10.0,1674148672989.0,6.637313018068992e+18,nghonghanh41,Hạnh Nguyễn Hồng,281100.0,5200000.0
10.0,1674148456318.0,6.637448521527099e+18,thanhtranofficial,Thanh Trần,1600000.0,34000000.0
10.0,1674148631063.0,6.638846978770305e+18,etro.gang,Etro.Gang,3585.0,16100.0
10.0,1674148988299.0,6.639170401020101e+18,cocosin.official,COCOSIN,28300.0,241800.0
10.0,1674148505309.0,6.639565261400687e+18,xesi_official,XESI,450100.0,4600000.0
10.0,1674148610016.0,6.640439948980257e+18,t.2204,𝕿𝖚𝖓𝖎𝖎 thích cười 🥬,613300.0,10700000.0
10.0,1674149346381.0,6.641517502143791e+18,noo_store.vn,NooStore,1835.0,3457.0
10.0,1674148761310.0,6.642252524895519e+18,lilly.luta,Lilly Luta,986500.0,5300000.0
10.0,1674148882470.0,6.642721071206908e+18,xxme.vn,XXME OFFICIAL,13300.0,139600.0
10.0,1674148974828.0,6.644036653756678e+18,slyclothing.vn,SLY,40300.0,182600.0
10.0,1674148428614.0,6.644427015146734e+18,trangnhenhang910,Trang Nhẹ Nhàng,18400.0,140800.0
10.0,1674148628895.0,6.647692788815299e+18,ribisachi36,Ribi Sachi,1300000.0,6500000.0
10.0,1674148997108.0,6.647697094742917e+18,quincquynhchau,Chế Ng Quỳnh Châu,201900.0,2800000.0
10.0,1674148597949.0,6.647710822960038e+18,nhilay1size,@Nhi Lầy 🎭,2900000.0,53300000.0
10.0,1674148401735.0,6.651002854004441e+18,vivianhoang209,VÕ HOÀNG YẾN,2300000.0,42200000.0
10.0,1674148623449.0,6.65103003444029e+18,rubynguyen.14,🔱 Ruby Nguyễn 🔱,121800.0,1000000.0
10.0,1674149347104.0,6.65226586234608e+18,freedyhomeweardesign,Freedy Homewear,622.0,1933.0
10.0,1674149139066.0,6.652573664275644e+18,hennieofficial,Hen Nie,1300000.0,18100000.0
10.0,1674148670900.0,6.654163945791095e+18,charme_store,Charme Store,83700.0,508900.0
10.0,1674149729817.0,6.655162567373783e+18,bau.krysie,Bau Krysie,430200.0,4900000.0
10.0,1674148895362.0,6.656222983063618e+18,25mihustore,25Mihustore,960.0,12500.0
